        lookbackS threshold nFast nSlow nSig nHold inventoryLimits  PD Ratio
 [176,]        14        28    12    26    9     3             170      0.33
 [177,]        14        38    12    26    9     1             160      0.33
 [178,]        14        40    12    26    9     3              90      0.33
 [179,]        14        40    12    26    9     3             100      0.33
 [180,]        14        42    12    26    9     2              60      0.33
 [181,]        14        44    12    26    9     1              80      0.33
 [182,]        14        20    12    26    9     3             170      0.32
 [183,]        14        22    12    26    9     3             170      0.32
 [184,]        14        24    12    26    9     3             170      0.32
 [185,]        14        32    12    26    9     2             170      0.32
 [186,]        14        34    12    26    9     2             170      0.32
 [187,]        14        42    12    26    9     1              60      0.32
 [188,]        14        44    12    26    9     0              60      0.32
 [189,]        14        44    12    26    9     1             190      0.32
 [190,]        14        34    12    26    9     0              80      0.31
 [191,]        14        36    12    26    9     0              80      0.31
 [192,]        14        38    12    26    9     1             190      0.31
 [193,]        14        42    12    26    9     3             150      0.31
 [194,]        14        48    12    26    9     0              40      0.31
 [195,]        14        14    12    26    9     1             190      0.30
 [196,]        14        16    12    26    9     1             190      0.30
 [197,]        14        18    12    26    9     1             190      0.30
 [198,]        14        32    12    26    9     0              80      0.30
 [199,]        14        36    12    26    9     1             190      0.30
 [200,]        14        46    12    26    9     0             170      0.30
 [201,]        14        10    12    26    9     1             190      0.29
 [202,]        14        10    12    26    9     2             170      0.29
 [203,]        14        12    12    26    9     0              80      0.29
 [204,]        14        12    12    26    9     1             190      0.29
 [205,]        14        12    12    26    9     2             170      0.29
 [206,]        14        14    12    26    9     0              80      0.29
 [207,]        14        14    12    26    9     2             170      0.29
 [208,]        14        16    12    26    9     0              80      0.29
 [209,]        14        16    12    26    9     2             170      0.29
 [210,]        14        18    12    26    9     0              80      0.29
 [211,]        14        18    12    26    9     2             170      0.29
 [212,]        14        20    12    26    9     0              80      0.29
 [213,]        14        22    12    26    9     0              80      0.29
 [214,]        14        24    12    26    9     0              80      0.29
 [215,]        14        26    12    26    9     0              80      0.29
 [216,]        14        28    12    26    9     0              80      0.29
 [217,]        14        30    12    26    9     0              80      0.29
 [218,]        14        38    12    26    9     1              60      0.29
 [219,]        14        10    12    26    9     0              80      0.28
 [220,]        14        44    12    26    9     0             120      0.28
 [221,]        14        14    12    26    9     0              60      0.27
 [222,]        14        16    12    26    9     0              60      0.27
 [223,]        14        18    12    26    9     0              60      0.27
 [224,]        14        20    12    26    9     0              60      0.27
 [225,]        14        44    12    26    9     1              40      0.27
 [226,]        14        10    12    26    9     0              60      0.26
 [227,]        14        12    12    26    9     0              60      0.26
 [228,]        14        22    12    26    9     0              60      0.26
 [229,]        14        24    12    26    9     0              60      0.26
 [230,]        14        26    12    26    9     0              60      0.26
 [231,]        14        28    12    26    9     0              60      0.26
 [232,]        14        30    12    26    9     0              60      0.26
 [233,]        14        32    12    26    9     0              60      0.26
 [234,]        14        38    12    26    9     3              90      0.26
 [235,]        14        38    12    26    9     3             100      0.26
 [236,]        14        42    12    26    9     0              80      0.26
 [237,]        14        44    12    26    9     1              70      0.26
 [238,]        14        44    12    26    9     2             100      0.26
 [239,]        14        44    12    26    9     3              40      0.26
 [240,]        14        32    12    26    9     3             170      0.25
 [241,]        14        40    12    26    9     0              60      0.25
 [242,]        14        40    12    26    9     2             110      0.25
 [243,]        14        42    12    26    9     2              90      0.25
 [244,]        14        42    12    26    9     2             100      0.25
 [245,]        14        32    12    26    9     1             190      0.24
 [246,]        14        34    12    26    9     1             190      0.24
 [247,]        14        14    12    26    9     0             100      0.23
 [248,]        14        16    12    26    9     0             100      0.23
 [249,]        14        18    12    26    9     0             100      0.23
 [250,]        14        20    12    26    9     0             100      0.23
 [251,]        14        26    12    26    9     1             190      0.23
 [252,]        14        28    12    26    9     1             190      0.23
 [253,]        14        30    12    26    9     1             190      0.23
 [254,]        14        30    12    26    9     2             170      0.23
 [255,]        14        40    12    26    9     0             140      0.23
 [256,]        14        40    12    26    9     1             180      0.23
 [257,]        14        42    12    26    9     3              60      0.23
 [258,]        14        44    12    26    9     2              50      0.23
 [259,]        14        46    12    26    9     0              40      0.23
 [260,]        14        10    12    26    9     0             100      0.22
 [261,]        14        12    12    26    9     0             100      0.22
 [262,]        14        20    12    26    9     1             190      0.22
 [263,]        14        22    12    26    9     1             190      0.22
 [264,]        14        24    12    26    9     1             190      0.22
 [265,]        14        26    12    26    9     1              60      0.22
 [266,]        14        26    12    26    9     2             170      0.22
 [267,]        14        28    12    26    9     1              60      0.22
 [268,]        14        28    12    26    9     2             170      0.22
 [269,]        14        30    12    26    9     1              60      0.22
 [270,]        14        32    12    26    9     1              60      0.22
 [271,]        14        34    12    26    9     1              60      0.22
 [272,]        14        42    12    26    9     2              70      0.22
 [273,]        14        14    12    26    9     1              60      0.21
 [274,]        14        16    12    26    9     1              60      0.21
 [275,]        14        18    12    26    9     1              60      0.21
 [276,]        14        20    12    26    9     1              60      0.21
 [277,]        14        20    12    26    9     2             170      0.21
 [278,]        14        22    12    26    9     1              60      0.21
 [279,]        14        22    12    26    9     2             170      0.21
 [280,]        14        24    12    26    9     1              60      0.21
 [281,]        14        24    12    26    9     2             170      0.21
 [282,]        14        40    12    26    9     0             180      0.21
 [283,]        14        40    12    26    9     3              80      0.21
 [284,]        14        42    12    26    9     0              40      0.21
 [285,]        14        44    12    26    9     1              60      0.21
 [286,]        14        22    12    26    9     0             160      0.20
 [287,]        14        22    12    26    9     0             170      0.20
 [288,]        14        24    12    26    9     0             160      0.20
 [289,]        14        24    12    26    9     0             170      0.20
 [290,]        14        26    12    26    9     0             160      0.20
 [291,]        14        26    12    26    9     0             170      0.20
 [292,]        14        28    12    26    9     0             160      0.20
 [293,]        14        28    12    26    9     0             170      0.20
 [294,]        14        30    12    26    9     0             160      0.20
 [295,]        14        30    12    26    9     0             170      0.20
 [296,]        14        40    12    26    9     1              50      0.20
 [297,]        14        40    12    26    9     3             190      0.20
